scenario,time,active_operating_mode_name,fleet_shift_count,fleet_shift_timer,face1_target_extraction_rate,face1_real_extraction_rate,face1_achieved_extraction_rate,face1_operational_downtime_fraction,face2_target_extraction_rate,face2_real_extraction_rate,face2_achieved_extraction_rate,face2_operational_downtime_fraction,total_target_extraction_rate,total_real_extraction_rate,total_achieved_extraction_rate,capacity_gap_rate,capacity_utilization,Ore1Stock_mass,Ore2Stock_mass,total_system_ore_mass,mixed_ore1_fraction
Dynamic Fleet Allocation,0.0,MODE_A,1,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,42000.0,18000.0,60000.0,0.6
Dynamic Fleet Allocation,0.5,MODE_A,2,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,42000.0,18000.0,60000.0,0.6
Dynamic Fleet Allocation,1.0,MODE_A,3,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,42000.0,18000.0,60000.0,0.6
Dynamic Fleet Allocation,1.5,MODE_A,4,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,42000.0,18000.0,60000.0,0.6
Dynamic Fleet Allocation,2.0,MODE_A,5,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,42000.0,18000.0,60000.0,0.6
Dynamic Fleet Allocation,2.5,MODE_A,6,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,42000.0,18000.0,60000.0,0.6
Dynamic Fleet Allocation,3.0,MODE_A,7,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,42000.0,18000.0,60000.0,0.6
Dynamic Fleet Allocation,3.5,MODE_A,8,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,42000.0,18000.0,60000.0,0.6
Dynamic Fleet Allocation,4.0,MODE_A,9,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,42000.0,18000.0,60000.0,0.6
Dynamic Fleet Allocation,4.5,MODE_A,10,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,42000.0,18000.0,60000.0,0.6
Dynamic Fleet Allocation,5.0,MODE_A,11,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,42000.0,18000.0,60000.0,0.6
Dynamic Fleet Allocation,5.5,MODE_A,12,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,42000.0,18000.0,60000.0,0.6
Dynamic Fleet Allocation,6.0,MODE_A,13,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,42000.0,18000.0,60000.0,0.6
Dynamic Fleet Allocation,6.5,MODE_A,14,0.0,999.9999999999987,2148397.212543552,999.9999999999987,0.0,5000.000000000001,8219754.768392374,5000.000000000001,0.0,6000.0,10368151.980935926,6000.0,0.0,1.0,42000.0,18000.0,60000.0,0.6
